NOMBRE_DEL_PROGRAMA,CINE_F_2013_AC_CAMPO_DETALLADO,NÚMERO_PERIODOS_DE_DURACIÓN,PERIODICIDAD,COSTO_MATRÍCULA_ESTUD_NUEVOS,MEDIANA_SALARIO,costo_total_con_inflacion
GEOTECNOLOGIA,CONSTRUCCION E INGENIERIA CIVIL,6,Semestral,471515,4076923,3791251.1759357825
HISTORIA,CIENCIAS POLITICAS Y EDUCACION CIVICA,10,Semestral,350834,3535088,5714716.174908371
INGENIERIA AGROINDUSTRIAL,INGENIERIA Y PROFESIONES AFINES NO CLASIFICADAS EN OTRA PARTE,10,Semestral,586190,3809524,9548417.412706688
INGENIERIA AGROINDUSTRIAL,INGENIERIA Y PROFESIONES AFINES NO CLASIFICADAS EN OTRA PARTE,10,Semestral,499864,3809524,8142257.837194793
INGENIERIA AGROPECUARIA,PRODUCCION AGRICOLA Y GANADERA,10,Semestral,354616,3391667,5776320.969693094
INGENIERIA AMBIENTAL,INGENIERIA Y PROFESIONES AFINES NO CLASIFICADAS EN OTRA PARTE,10,Semestral,496460,3809524,8086810.264099289
INGENIERIA CIVIL,INGENIERIA Y PROFESIONES AFINES NO CLASIFICADAS EN OTRA PARTE,10,Semestral,811531,3809524,13218984.853633244
INGENIERIA CIVIL,CONSTRUCCION E INGENIERIA CIVIL,10,Semestral,605876,4076923,9869081.608934095
INGENIERIA DE SISTEMAS,ELECTRONICA Y AUTOMATIZACION,10,Semestral,543425,4157197,8851820.625565315
INGENIERIA ELECTRONICA Y TELECOMUNICACIONES,INGENIERIA Y PROFESIONES AFINES NO CLASIFICADAS EN OTRA PARTE,10,Semestral,777039,3809524,12657146.518965168
INGENIERIA EN AUTOMATICA INDUSTRIAL,ELECTRONICA Y AUTOMATIZACION,10,Semestral,517122,4157197,8423372.471884044
INGENIERIA FISICA,INGENIERIA Y PROFESIONES AFINES NO CLASIFICADAS EN OTRA PARTE,10,Semestral,573011,3809524,9333745.389843687
INGENIERIA FORESTAL,SILVICULTURA,10,Semestral,351878,3500000,5731721.834811928
LICENCIATURA EN CIENCIAS NATURALES Y EDUCACION AMBIENTAL,CIENCIAS DE LA EDUCACION,10,Semestral,235427,3021412,3834857.7529833284
LICENCIATURA EN EDUCACION ARTISTICA,CIENCIAS DE LA EDUCACION,10,Semestral,230246,3021412,3750464.722369989
